,,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Sample size,Sample size unit,,,,,
Method,Sample Position,vial_ID,salinity,date,time,coral,chamber,type (I/F),tank,volume,unit,treatment,incubation,incubation_temperature,notes,titration_date
TA_CO3_20mL_AU_2024,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2025,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2026,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2027,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2028,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2029,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2030,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2031,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2032,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2033,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2034,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2035,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2036,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2037,,,,,,,,,,20,mL,,,,,
TA_CO3_20mL_AU_2038,,,,,,,,,,20,mL,,,,,
